q1,q2,r1x,r1y,r1z,r2x,r2y,r2z,r_de_Fcoul,F_magnitude,F_vector_x,F_vector_y,F_vector_z
4.66269939820701e-06,1.0714283823648072e-06,70.12143965748493,3.446640133520475,-0.693133881602833,43.250363828193684,-39.55687678741919,-99.12678491944892,110.72732652978452,3.6621957506378403e-06,8.887339991056956e-07,1.4222983780610403e-06,3.2555947104313196e-06
3.750268297354929e-06,6.018103581804271e-06,-82.84673395890256,76.64854546063151,2.1270498019248123,-25.222692649878127,-95.13961421874586,-63.7637151145108,192.80377289898763,5.456844259425014e-06,-1.6309090548075624e-06,4.862048179289131e-06,1.8648786633016284e-06
-6.744007632346037e-07,-9.608610810599692e-06,90.17770385381672,83.2807589482546,-76.32447467773014,-20.672425753851257,65.2934958537466,61.29119299028963,177.62140877547026,1.8460295722644904e-06,1.152071806860743e-06,1.8694266544489374e-07,-1.4302475916246106e-06
-3.580389459911284e-07,-7.985441225905632e-06,-50.517596146787255,-71.69393644558062,-28.347568127477317,-65.87338020081296,-48.393607719813936,49.690954226307525,82.87771952584623,3.74114224290228e-06,6.9316787100404e-07,-1.0517886419677659e-06,-3.5226984311551897e-06
3.0669469721863396e-06,5.393760379803896e-06,-93.01217999980611,34.79227549945594,-91.51889991572637,54.52038897011474,68.62167142027673,-66.3722315225964,153.43611656486271,6.31529057869517e-06,-6.072305945468649e-06,-1.3923870736874022e-06,-1.035013929862931e-06
-6.916962641529976e-06,9.751023959428527e-06,-5.251077156849917,69.32469381632438,-6.715852458737686,60.17746193322725,-67.92979531003256,78.73951474530011,174.41991943805021,-1.992618273918191e-05,7.474725538613966e-06,-1.56803078508257e-05,9.762642182370365e-06
9.768344281166801e-06,3.4997945783159225e-06,-95.46734037212632,-29.7516261830782,-66.15056369617812,-58.716863708682965,-60.382509614923904,-48.180170461771276,51.10561209695888,0.0001176459393190282,-8.460018714363658e-05,7.051278530182371e-05,-4.1368133659823804e-05
-4.0689961359982e-06,2.0128670385858257e-06,41.974012711368005,17.761713386360725,86.7561804166767,2.512961750165047,-14.868237918016746,66.62749727334284,55.01865274771306,-2.4318292671419475e-05,-1.7441819064466653e-05,-1.4422467036999562e-05,-8.896895567661953e-06
-1.1803569708599173e-06,-5.113005468585176e-07,-47.43266714226999,23.103341400722982,57.09385410423812,67.88664553433617,42.381865266034566,42.73043898451877,117.79861226912493,3.90894802793379e-07,-3.826676657616693e-07,-6.397252598580552e-08,4.7662567601687424e-08
1.4916738272863637e-06,-6.163590029079376e-06,71.91502818703304,70.10692150071117,-2.295976791341573,-85.2567572689971,60.863316585111846,-63.48487615107281,168.91564693694713,-2.896132786981883e-06,-2.6947791356333297e-06,-1.584856569028627e-07,-1.049110493009578e-06
-8.006082124853197e-06,-5.3446206502783475e-06,58.93878801391688,-94.57032685193518,-4.48247569299987,46.57900497310675,-57.23528526148722,-95.11671561075752,98.79896261017133,3.939878012977185e-05,4.928800481417491e-06,-1.488836578742085e-05,3.6142874342094596e-05
2.691178060997369e-06,4.3123075938600985e-06,53.651723113664104,44.430767580160364,20.510101213200954,67.7190593357411,-31.654265897030754,-20.22355811298266,87.44171355658487,1.364160480106358e-05,-2.1946166599431857e-06,1.1869872121157351e-05,6.354775770369259e-06
-7.808176188011016e-06,-7.871216337529979e-06,17.453749218242052,91.2922676594477,-0.234647694415969,-75.64544827834595,6.660596309591298,10.980850192413214,126.3161421308784,3.4619784905277555e-05,2.5515932784317833e-05,2.3195216453574212e-05,-3.073859903394765e-06
9.318909979718262e-06,7.732906545850132e-06,56.94212539030602,14.896858352586335,-22.007882890031254,20.799382776048844,50.0987500059407,27.766034312419308,70.87251832220544,0.00012894448344782217,6.57576079855879e-05,-6.404583670911854e-05,-9.055797923909497e-05
9.91284149088641e-06,3.536666308022318e-06,47.39183563788251,68.61231181890147,-44.25014916256676,-69.60812522004711,83.16561148424145,-32.85919573857967,118.45059388544108,2.245786051794711e-05,2.218282505272954e-05,-2.7592599010199088e-06,-2.159688987374311e-06
6.29884059663017e-06,2.7735718110466448e-06,-31.913038470772875,59.64282117542655,66.72656948945496,12.547259241298363,-57.60501604559265,-3.838643416180858,143.8861448440062,7.584251003264324e-06,-2.343506095696561e-06,6.180143529720329e-06,3.719498408657399e-06
3.8103871819325883e-06,9.777933486725144e-06,76.7969980749723,18.197569301553983,22.986971079683045,-53.127497656703746,-34.133163138972606,86.60797938581868,153.83924351992135,1.4149221106629978e-05,1.1949684457703624e-05,4.813070365085499e-06,-5.851482969842386e-06
-9.458224054412796e-06,-9.597274325728674e-06,-36.312699393741795,-4.514761656065261,29.878078298253882,60.583211521963904,-34.17293140969416,-90.38542151891758,157.26326326766286,3.298781561614702e-05,-2.0325054795573236e-05,6.221149269171198e-06,2.5226680884582296e-05
8.793044080481975e-06,2.173230969831361e-06,-83.84664635501109,-13.84762177768954,-53.051206292515076,87.19798219585763,85.1777083929531,-40.87428685598189,198.0165607682177,4.38018776290326e-06,-3.7835602536588394e-06,-2.1904710280198044e-06,-2.693572360757934e-07
-7.5621043162335735e-06,3.3329564848939766e-06,66.1752468390381,49.335605153199225,66.38081049793468,22.625680030018486,-40.073784583546825,84.2311004790896,101.04076699412931,-2.2188587547041122e-05,-9.563500006228102e-06,-1.9634333059017423e-05,3.91992988344932e-06
-6.7062959883022424e-06,-6.5866151417027235e-06,48.26534312268643,31.865854387050774,-1.6904691435446466,-36.760539822253044,-4.210935814650156,-12.97398899998808,93.04973606719605,4.585274423422e-05,4.189877616791525e-05,1.7777802536867046e-05,5.560255965321775e-06
5.9977931401612705e-06,1.4236400830717048e-06,-3.2562572552547095,61.743700891970065,79.77739260228716,-76.18393272645619,-78.9016356704403,36.78441097915564,164.1583169237352,2.8478461739286494e-06,1.2651616162747248e-06,2.4399390242058157e-06,7.458494977022815e-07
